Asset/SSE #,Serial#,Manuf,Model,,Model#,FMV,Cond,On Shelf,Processor Type,Processor Speed,Mem Size (Total),Mem Type,HDD Capacity,HDD Type,HDD Qty,Optical Drive,New OS Load Type,Screen Size,Case Color,Notes/Comments,Mono Page Count,Color Page Count,Total Page Count,Form Factor,price
1143285,2UA8440F13,HP,dc7800 SFF,,GC760AV,,B,41,Intel Core 2 6300 Dual Core,2.30GHz,5 GB,"DDR2/800, DDR2/800, DDR2/800, DDR2/800, DDR2/800",,,,,,,Silver and Black,,,,,SFF,45
1162852,2UA8440f1f,HP,dc7800 SFF,,GC760AV,,C,20,Intel Core 2 Duo E6550 Dual Core,2.33 GHz,7 GB,"DDR2/800, DDR2/800, DDR2/800, DDR2/800, DDR2/800",,,,,,,Silver and Black,,,,,SFF,45
1162857,2UA8180J5R,HP,dc7800 SFF,,GC760AV,,C,22,Intel Core 2 Duo E6550 Dual Core,2.33 GHz,2.5 GB,"DDR2/667, DDR2/667, DDR2/667, DDR2/667, DDR2/667",,,,,,,Silver and Black,,,,,SFF,45
1178963,DQQZ9F1,Dell,OptiPlex 755,,OptiPlex 755,,B,9,Intel Core 2 Duo E6550 Dual Core,2.33 GHz,4 GB,"DDR2/667, DDR2/667, DDR2/667, DDR2/667",80 GB,SATA,1,,,,silver,,,,,SFF,45
1175486,3KTBZL1,Dell,OptiPlex 780,,OptiPlex 780,,B,5,Intel Core 2 Duo E7500 Dual Core,2.93 GHz,2 GB,"DDR3/1066, DDR3/1066",250 GB,SATA,1,,,,BLACK,,,,,SFF,45
1177535,2UA0421FJ8,HP,6000 Pro SFF,,AT492AV,,B,12,Intel Core 2 Duo E7500 Dual Core,2.93 GHz,4 GB,,80 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179509,HRVD9P1,Dell,OptiPlex 780,,OptiPlex 780,,B,8,Intel Core 2 Duo E7500 Dual Core,2.93 GHz,4 GB,"DDR3/1066, DDR3/1066",250 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179512,JGNT3P1,Dell,OptiPlex 780,,OptiPlex 780,,B,8,Intel Core 2 Duo E7500 Dual Core,2.93 GHz,4 GB,"DDR3/1066, DDR3/1066",250 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179513,65LDBP1,Dell,OptiPlex 780,,OptiPlex 780,,B,8,Intel Core 2 Duo E7500 Dual Core,2.93 GHz,4 GB,"DDR3/1066, DDR3/1066",250 GB,SATA,1,,,,BLACK,,,,,SFF,45
1150138,MXL0191RC3,HP,8000 Elite SFF,,SH782UC#ABA,,B,30,Intel Core 2 Duo E7600 Dual core,2.30GHz,6 GB,"DDR3/1333, DDR3/1333, DDR3/1333",160 GB,SATA,1,,,,Black,,,,,SFF,45
1162973,2UA93906WL,HP,dc7900 SFF,,KP721AV,,B,22,Intel Core 2 Duo E8400,3.00 Ghz,5 GB,"DDR2/800, DDR2/800, DDR2/800",,,,,,,Black,,,,,SFF,60
1176118,BJD5HK1,Dell,OptiPlex 780,,OptiPlex 760,,B,12,Intel Core 2 Duo E8400,3.00 Ghz,4 GB,"DDR2/800, DDR2/800",250 GB,SATA,1,,,,silver/black,,,,,SFF,60
1177494,2UA11206RT,HP,8000 Elite SFF,,AU247AV,,C,9,Intel Core 2 Duo E8400,3.00 Ghz,8 GB,,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1177516,2UA11206S0,HP,8000 Elite SFF,,AU247AV,,B,8,Intel Core 2 Duo E8400,3.00 Ghz,8 GB,,250 GB,SATA,1,,,,BLACK,,,,,SFF,60
1146705,DSH7YF1,Dell,OptiPlex 755,,Optiplex 755,,B,14,Intel Core 2 Duo E8500,2.30GHz,4 GB,"DDR2/800, DDR2/800",,,,,,,Silver and Black front,,,,,SFF,60
1142555,MJRBAHP,Lenovo,ThinkCentre M71e,,AD6,,B,30,Intel Core i3-2120 Dual Core,3.30 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1171166,MJRBAHN,Lenovo,ThinkCentre M71e,,3167-AD6,,B,7,Intel Core i3-2120 Dual Core,3.30 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1171170,MJRBAKB,Lenovo,ThinkCentre M71e,,3167-AD6,,B,8,Intel Core i3-2120 Dual Core,3.30 Ghz,4 GB,DDR3/1333,320 GB,SATA,1,,,,black,,,,,SFF,60
1172746,MJVETMA,Lenovo,ThinkCentre M72e,,3660-A73,,B,15,Intel Core i3-2120 Dual Core,3.30 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172883,8XCVTV1,Dell,OptiPlex 790,,Optiplex 790,,B,5,Intel Core i3-2120 Dual Core,3.30 Ghz,4 GB,"DDR3/1333, DDR3/1333",250 GB,SATA,1,,,,BLACK,,,,,SFF,60
1175483,J77QWV1,Dell,OptiPlex 790,,Optiplex 790,,B,5,Intel Core i3-2120 Dual Core,3.30 Ghz,2 GB,DDR3/1333,250 GB,SATA,1,,,,BLACK,,,,,SFF,60
1178233,MJVETLC,Lenovo,ThinkCentre M72e,,3660-A73,,B,1,Intel Core i3-2120 Dual Core,3.30 Ghz,4 GB,DDR3/1333,250 GB,SATA,1,,,,GREY,INSTALLED HDD/ SN: S2B5J90Z906382,,,,SFF,60
1179493,7X6X3V1,Dell,OptiPlex 390,,OptiPlex 390,,B,8,Intel Core i3-2120 Dual Core,3.30 Ghz,2 GB,DDR3/1333,250 GB,SATA,1,,,,Black,,,,,SFF,60
1124131,MJ30YF0,Lenovo,ThinkCentre M72e,,A73,,A,6,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172414,MJ34N41,Lenovo,ThinkCentre M72e,,3660-A73,,B,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172436,MJ34N14,Lenovo,ThinkCentre M72e,,3660-A73,,A,14,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172437,MJ34N27,Lenovo,ThinkCentre M72e,,3660-A73,,A,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172761,MJ17W9F,Lenovo,ThinkCentre M72e,,3660-A73,,B,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172867,MJ17C3W,Lenovo,ThinkCentre M72e,,3660-A73,,A,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172903,MJ34N16,Lenovo,ThinkCentre M72e,,3660-A73,,B,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1178094,MJ09A13,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1178095,MJ80C6M,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1178097,MJ80C7N,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1178098,MJ80R4M,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1178236,MJ34N40,Lenovo,ThinkCentre M72e,,3660-A73,,A,8,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,60
1140676,MXL30116G0,HP,6000 Pro SFF,,SK036UP#ABA,,C,5,Intel Core i3-2350M Dual Core,2.50 Ghz,4 GB,DDR3,250 GB,SATA,1,,,,Black,,,,,SFF,60
1165177,MXL3011176,HP,Pro 6300 SFF,,D5V53UP#ABA,,B,5,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,250 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172749,MJVAKZC,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172750,MJVADRA,Lenovo,ThinkCentre M72e,,0967-A7U,,A,14,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172751,MJVAKYW,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172753,MJVAKZD,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172758,MJADNB,Lenovo,ThinkCentre M72e,,0967-A7U,,A,13,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172759,MJVADMR,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172762,MJVADPZ,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172789,MJVAKYX,Lenovo,ThinkCentre M72e,,0967-A7U,,A,14,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA/SSD,1,,,,Black,,,,,SFF,60
1172790,MJVAECY,Lenovo,ThinkCentre M72e,,0967-A7U,,C,14,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA/SSD,1,,,,Black,,,,,SFF,60
1172885,MJVALCZ,Lenovo,ThinkCentre M72e,,0967A7U,,B,13,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SAS/SSD,1,,,,Black,,,,,SFF,60
1179481,2UA3170TFY,HP,Pro 4300 SFF,,D8C84UT#ABA,,B,9,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172346,MJ66RY3,Lenovo,ThinkCentre M73,,10B7S00T00,,B,15,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172748,MJ95YX8,Lenovo,ThinkCentre M72e,,3660-A73,,C,15,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172752,MJ66RY0,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172756,MJ66RX8,Lenovo,ThinkCentre M72e,,3660-A73,,B,14,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1179364,MJ037WWT,Lenovo,ThinkCentre M73,,10B4-S1T003,,C,8,Intel Core i3-4130 Dual Core,3.40 Ghz,8 GB,"DDR3/1600, DDR3/1600",500 GB,SATA,1,,,,black,,,,,SFF,70
1179659,MJ03M3EA,Lenovo,ThinkCentre M73,,S1T003,,C,7,Intel Core i3-4130 Dual Core,3.40 Ghz,16 GB,"DDR3/1600, DDR3/1600",500 GB,SATA,1,,,,BLACK,,,,,SFF,70
1178978,2UA22605WK,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1179107,2UA22605WF,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.00 Ghz,6 GB,"DDR3/1333, DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,Black,,,,,SFF,45
1179132,2UA22605TC,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,2.40GHz,6 GB,"DDR3/1333, DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,Black,,,,,SFF,45
1179640,2UA22605VD,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179894,2UA22605XK,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1180150,2UA22605Y3,HP,4000 Pro SFF,,H3E60US#ABA,,C,9,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1180153,2UA22605SM,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1069865,MXL128171L,HP,4000 Pro,,LA071UT#ABA,,A,92,Intel Pentium E6700 Dual Core,3.20 Ghz,400 GB,"DDR3/1333, DDR3/1333, DDR3/1333",250 GB,SATA/SSD,1,,,,Black,,,,,SFF,45
1178976,2UA3501B2S,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,8 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178977,2UA3451FGK,HP,Pro 4300 SFF,,F7D87US#ABA,,A,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179004,2UA3451FH3,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179006,2UA3500WZD,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179100,2UA3500X0P,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179101,2UA3501B6H,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179103,2UA3501B7Q,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179105,2UA3500WYM,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179123,2UA3500WY5,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179125,2UA3500WW4,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179331,2UA3500WW5,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179336,2UA3500WZ4,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179389,2UA3451FG9,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179393,2UA3451FF9,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179397,2UA3500X14,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179398,2UA3451FJB,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179400,2UA3451FFN,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179436,2UA3500WVV,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179437,2UA3501B38,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179443,2UA3501B5D,HP,Pro 4300 SFF,,F7D87US#ABA,,A,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179582,2UA3500X15,HP,Pro 4300 SFF,,F7D87US#ABA,,B,7,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179583,2UA3501B58,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179585,2UA3500WY8,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179586,2UA3451FDC,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179608,2UA3500WYJ,HP,Pro 4300 SFF,,F7D87US#ABA,,A,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179861,2UA3500WYR,HP,Pro 4300 SFF,,F7D87US#ABA,,C,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179862,2UA3451FC9,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179864,2UA3501B5M,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179866,2UA3500WZ2,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179867,2UA3500X0Y,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179868,2UA3500WWB,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180102,2UA3500WVH,HP,Pro 4300 SFF,,F7D87US#ABA,,C,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180104,2UA3501B77,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,,,,,,,Black,,,,,SFF,45
1180116,2UA3451FBR,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180117,2UA3501B3J,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180121,2UA3501B79,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180124,2UA3500WZ6,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,8 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,Black,,,,,SFF,45
1180127,2UA3501B5T,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180129,2UA3500X17,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
